,Home,Home Win Percent,Away,Away Win Percent,Home Odds,Away Odds
0,Arizona Coyotes,47.88,Carolina Hurricanes,52.12,2.088554720133667,1.918649270913277
1,Buffalo Sabres,69.09,Detroit Red Wings,30.91,1.4473874656245476,3.2351989647363313
2,Calgary Flames,45.41,Nashville Predators,54.59,2.202158114952654,1.8318373328448432
3,Edmonton Oilers,63.0,San Jose Sharks,37.0,1.5873015873015872,2.7027027027027026
4,Florida Panthers,54.9,Vegas Golden Knights,45.1,1.8214936247723132,2.2172949002217295
5,Minnesota Wild,50.51,Vancouver Canucks,49.49,1.9798059790140567,2.020610224287735
6,Montreal Canadiens,58.78,Anaheim Ducks,41.22,1.701258931609391,2.42600679281902
7,New York Islanders,57.53,Los Angeles Kings,42.47,1.7382235355466713,2.354603249352484
8,Ottawa Senators,30.93,Colorado Avalanche,69.07,3.2331070158422244,1.4478065730418417
9,Philadelphia Flyers,58.69,New Jersey Devils,41.31,1.7038677798602828,2.420721374969741
10,St. Louis Blues,56.44,Winnipeg Jets,43.56,1.771793054571226,2.295684113865932
11,Tampa Bay Lightning,52.06,Pittsburgh Penguins,47.94,1.9208605455243948,2.0859407592824364
